,Año,Provincia,Max_Velocidad,Cantidad de Personas
48,2019,Buenos Aires,6.0,4426332
49,2019,Capital Federal,50.0,1703151
50,2019,Catamarca,6.0,37125
51,2019,Chaco,10.0,69111
52,2019,Chubut,6.0,221226
53,2019,Corrientes,6.0,71603
54,2019,Córdoba,25.0,515553
55,2019,Entre Ríos,6.0,208143
56,2019,Formosa,3.0,41342
57,2019,Jujuy,12.0,68278
58,2019,La Pampa,6.0,147652
59,2019,La Rioja,35.0,126350
60,2019,Mendoza,6.0,656124
61,2019,Misiones,6.0,78857
62,2019,Neuquén,6.0,127707
63,2019,Río Negro,6.0,262764
64,2019,Salta,10.0,189428
65,2019,San Juan,6.0,234968
66,2019,San Luis,25.0,174681
67,2019,Santa Cruz,6.0,48910
68,2019,Santa Fe,6.0,591894
69,2019,Santiago Del Estero,10.0,127994
70,2019,Tierra Del Fuego,6.0,123555
71,2019,Tucumán,6.0,204441
72,2020,Buenos Aires,50.0,4426649
73,2020,Capital Federal,50.0,2260708
74,2020,Catamarca,50.0,41251
75,2020,Chaco,50.0,102987
76,2020,Chubut,6.0,231644
77,2020,Corrientes,10.0,88805
78,2020,Córdoba,50.0,1103640
79,2020,Entre Ríos,10.0,190227
80,2020,Formosa,3.0,41168
81,2020,Jujuy,12.0,91036
82,2020,La Pampa,6.0,192754
83,2020,La Rioja,35.0,126356
84,2020,Mendoza,6.0,514698
85,2020,Misiones,10.0,93742
86,2020,Neuquén,50.0,144084
87,2020,Río Negro,6.0,206098
88,2020,Salta,10.0,261572
89,2020,San Juan,6.0,212317
90,2020,San Luis,25.0,242696
91,2020,Santa Cruz,6.0,45558
92,2020,Santa Fe,10.0,753595
93,2020,Santiago Del Estero,10.0,225972
94,2020,Tierra Del Fuego,6.0,75213
95,2020,Tucumán,10.0,211871
96,2021,Buenos Aires,50.0,4545127
97,2021,Capital Federal,50.0,1999148
98,2021,Catamarca,50.0,64534
99,2021,Chaco,50.0,127901
100,2021,Chubut,6.0,189471
101,2021,Corrientes,10.0,89963
102,2021,Córdoba,50.0,1275349
103,2021,Entre Ríos,10.0,198680
104,2021,Formosa,3.0,41810
105,2021,Jujuy,50.0,94798
106,2021,La Pampa,6.0,182176
107,2021,La Rioja,50.0,104883
108,2021,Mendoza,6.0,412801
109,2021,Misiones,50.0,102714
110,2021,Neuquén,50.0,142959
111,2021,Río Negro,6.0,165666
112,2021,Salta,10.0,273839
113,2021,San Juan,6.0,159613
114,2021,San Luis,25.0,264164
115,2021,Santa Cruz,6.0,38392
116,2021,Santa Fe,10.0,751800
117,2021,Santiago Del Estero,10.0,239707
118,2021,Tierra Del Fuego,6.0,63486
119,2021,Tucumán,50.0,284352
120,2022,Buenos Aires,50.0,2961580
121,2022,Capital Federal,50.0,1188759
122,2022,Catamarca,50.0,80914
123,2022,Chaco,50.0,127743
124,2022,Chubut,15.0,56323
125,2022,Corrientes,50.0,77828
126,2022,Córdoba,50.0,1075525
127,2022,Entre Ríos,50.0,153911
128,2022,Formosa,10.0,45854
129,2022,Jujuy,50.0,94111
130,2022,La Pampa,6.0,126745
131,2022,La Rioja,50.0,110066
132,2022,Mendoza,50.0,182975
133,2022,Misiones,50.0,104989
134,2022,Neuquén,50.0,103587
135,2022,Río Negro,50.0,58305
136,2022,Salta,10.0,200054
137,2022,San Juan,12.0,38504
138,2022,San Luis,25.0,203488
139,2022,Santa Cruz,10.0,27030
140,2022,Santa Fe,50.0,613676
141,2022,Santiago Del Estero,10.0,175702
142,2022,Tierra Del Fuego,12.0,34816
143,2022,Tucumán,50.0,246924
